created_hour,temperature_c,complaint_id
2023-01-01 06:00:00,6.7,56414720
2023-01-01 06:00:00,6.7,56412670
2023-01-01 06:00:00,6.7,56419202
2023-01-01 06:00:00,6.7,56414318
2023-01-01 07:00:00,6.95,56413000
2023-01-01 07:00:00,6.95,56415499
2023-01-01 07:00:00,6.95,56412619
2023-01-01 07:00:00,6.95,56412862
2023-01-01 07:00:00,6.95,56417290
2023-01-01 08:00:00,10.0,56416109
2023-01-01 08:00:00,10.0,56415553
2023-01-01 09:00:00,10.0,56415314
2023-01-01 09:00:00,10.0,56417042
2023-01-01 09:00:00,10.0,56419086
2023-01-01 09:00:00,10.0,56416200
2023-01-01 10:00:00,11.1,56417577
2023-01-01 10:00:00,11.1,56414355
2023-01-01 10:00:00,11.1,56417981
2023-01-01 10:00:00,11.1,56417578
2023-01-01 11:00:00,12.8,56417369
2023-01-01 11:00:00,12.8,56416451
2023-01-01 11:00:00,12.8,56416582
2023-01-01 11:00:00,12.8,56415435
2023-01-01 12:00:00,12.8,56412712
2023-01-01 12:00:00,12.8,56418292
2023-01-01 12:00:00,12.8,56414657
2023-01-01 12:00:00,12.8,56416484
2023-01-01 12:00:00,12.8,56418355
2023-01-01 12:00:00,12.8,56418320
2023-01-01 12:00:00,12.8,56416106
2023-01-01 12:00:00,12.8,56418223
2023-01-01 12:00:00,12.8,56415328
2023-01-01 12:00:00,12.8,56413837
2023-01-01 12:00:00,12.8,56413476
2023-01-01 12:00:00,12.8,56414376
2023-01-01 12:00:00,12.8,56417681
2023-01-01 12:00:00,12.8,56414261
2023-01-01 13:00:00,12.8,56415704
2023-01-01 13:00:00,12.8,56412769
2023-01-01 13:00:00,12.8,56415510
2023-01-01 13:00:00,12.8,56412687
2023-01-01 13:00:00,12.8,56418905
2023-01-01 13:00:00,12.8,56415561
2023-01-01 13:00:00,12.8,56416435
2023-01-01 13:00:00,12.8,56413154
2023-01-01 13:00:00,12.8,56412879
2023-01-01 14:00:00,12.8,56416300
2023-01-01 14:00:00,12.8,56415253
2023-01-01 14:00:00,12.8,56417081
2023-01-01 14:00:00,12.8,56418884
2023-01-01 14:00:00,12.8,56416237
2023-01-01 14:00:00,12.8,56413193
2023-01-01 14:00:00,12.8,56416642
2023-01-01 14:00:00,12.8,56413424
2023-01-01 15:00:00,12.2,56416251
2023-01-01 15:00:00,12.2,56418173
2023-01-01 15:00:00,12.2,56413790
2023-01-01 15:00:00,12.2,56418013
2023-01-01 15:00:00,12.2,56414298
2023-01-01 15:00:00,12.2,56416155
2023-01-01 15:00:00,12.2,56417936
2023-01-01 15:00:00,12.2,56412801
2023-01-01 15:00:00,12.2,56417373
2023-01-01 15:00:00,12.2,56416267
2023-01-01 16:00:00,11.65,56418092
2023-01-01 16:00:00,11.65,56417937
2023-01-01 16:00:00,11.65,56417062
2023-01-01 16:00:00,11.65,56415293
2023-01-01 16:00:00,11.65,56414327
2023-01-01 16:00:00,11.65,56417070
2023-01-01 16:00:00,11.65,56418093
2023-01-01 16:00:00,11.65,56413484
2023-01-01 16:00:00,11.65,56416339
2023-01-01 17:00:00,8.3,56418698
2023-01-01 17:00:00,8.3,56413602
2023-01-01 17:00:00,8.3,56415249
2023-01-01 17:00:00,8.3,56418946
2023-01-01 17:00:00,8.3,56413545
2023-01-01 18:00:00,8.3,56417999
2023-01-01 18:00:00,8.3,56414528
2023-01-01 18:00:00,8.3,56415294
2023-01-01 18:00:00,8.3,56417147
2023-01-01 18:00:00,8.3,56412578
2023-01-01 18:00:00,8.3,56415296
2023-01-01 18:00:00,8.3,56416122
2023-01-01 18:00:00,8.3,56412684
2023-01-01 18:00:00,8.3,56416576
2023-01-01 19:00:00,7.2,56416284
2023-01-01 19:00:00,7.2,56413451
2023-01-01 19:00:00,7.2,56412685
2023-01-01 19:00:00,7.2,56416121
2023-01-01 19:00:00,7.2,56415189
2023-01-01 19:00:00,7.2,56415594
2023-01-01 19:00:00,7.2,56415492
2023-01-01 19:00:00,7.2,56413483
2023-01-01 19:00:00,7.2,56418736
2023-01-01 19:00:00,7.2,56418737
2023-01-01 19:00:00,7.2,56416560
2023-01-01 20:00:00,6.7,56415181
2023-01-01 20:00:00,6.7,56417008
2023-01-01 20:00:00,6.7,56418008
2023-01-01 20:00:00,6.7,56414724
2023-01-01 20:00:00,6.7,56418922
2023-01-01 20:00:00,6.7,56419007
2023-01-01 20:00:00,6.7,56417998
2023-01-01 21:00:00,7.8,56414981
2023-01-01 21:00:00,7.8,56416141
2023-01-01 21:00:00,7.8,56417931
2023-01-01 21:00:00,7.8,56417041
2023-01-01 21:00:00,7.8,56415712
2023-01-01 21:00:00,7.8,56415201
2023-01-01 21:00:00,7.8,56412813
2023-01-01 21:00:00,7.8,56416102
2023-01-01 21:00:00,7.8,56418990
2023-01-01 21:00:00,7.8,56418741
2023-01-01 21:00:00,7.8,56418954
